Shop,Date,KPI,Value,MoM_%,YoY_%
Aksarben Village,2022-07-01,hours_scheduled,564.5,2.776513427400995,-20.15558698727016
Aksarben Village,2022-08-01,hours_scheduled,615.75,9.078830823737816,-3.1839622641509413
Aksarben Village,2022-09-01,hours_scheduled,739.25,20.056841250507507,12.819534528805798
Aksarben Village,2022-10-01,hours_scheduled,635.5,-14.034494420020295,9.005145797598635
Aksarben Village,2022-11-01,hours_scheduled,799.35,25.782848151062154,49.761124121779865
Aksarben Village,2022-12-01,hours_scheduled,944.75,18.18977919559641,76.09506057781921
Aksarben Village,2023-01-01,hours_scheduled,882.5,-6.58904472082561,118.57585139318884
Aksarben Village,2023-02-01,hours_scheduled,770.0,-12.747875354107652,73.13097245643621
Aksarben Village,2023-03-01,hours_scheduled,960.75,24.77272727272728,80.0
Aksarben Village,2023-04-01,hours_scheduled,981.35,2.1441582097319722,101.09631147540985
Aksarben Village,2023-05-01,hours_scheduled,895.0,-8.799103276099252,72.86335103814582
Aksarben Village,2023-06-01,hours_scheduled,959.5,7.206703910614531,74.69276285844333
Aksarben Village,2023-07-01,hours_scheduled,681.75,-28.947368421052634,20.77059344552701
Aksarben Village,2023-08-01,hours_scheduled,848.5,24.459112577924458,37.79943158749492
Aksarben Village,2023-09-01,hours_scheduled,827.0,-2.533883323512076,11.870138654041252
Aksarben Village,2023-10-01,hours_scheduled,730.25,-11.69891172914147,14.909520062942573
Aksarben Village,2023-11-01,hours_scheduled,810.5,10.98938719616569,1.394883342715958
Aksarben Village,2023-12-01,hours_scheduled,817.0,0.8019740900678585,-13.522095792537714
Aksarben Village,2024-01-01,hours_scheduled,701.25,-14.167686658506728,-20.538243626062325
Aksarben Village,2024-02-01,hours_scheduled,809.0,15.36541889483065,5.064935064935061
Aksarben Village,2024-03-01,hours_scheduled,629.75,-22.15698393077874,-34.45225084569346
Aksarben Village,2024-04-01,hours_scheduled,689.25,9.448193727669718,-29.76511947826973
Aksarben Village,2024-05-01,hours_scheduled,694.0,0.689154878491105,-22.458100558659222
Aksarben Village,2024-06-01,hours_scheduled,674.25,-2.845821325648412,-29.729025534132358
Aksarben Village,2024-07-01,hours_scheduled,742.25,10.08527994067483,8.874220755408867
Aksarben Village,2024-08-01,hours_scheduled,877.0,18.1542606938363,3.3588685916323024
Aksarben Village,2024-09-01,hours_scheduled,773.25,-11.830102622576966,-6.499395405078601
Aksarben Village,2024-10-01,hours_scheduled,765.0,-1.066925315227929,4.758644299897297
Aksarben Village,2024-11-01,hours_scheduled,850.75,11.20915032679739,4.96607032695866
Aksarben Village,2024-12-01,hours_scheduled,754.0,-11.372318542462533,-7.711138310893517
Aksarben Village,2025-01-01,hours_scheduled,981.75,30.205570291777196,39.99999999999999
Aksarben Village,2025-02-01,hours_scheduled,855.0,-12.910618792971729,5.6860321384425205
Aksarben Village,2025-03-01,hours_scheduled,799.5,-6.491228070175437,26.955140928940047
Aksarben Village,2025-04-01,hours_scheduled,,0.0,15.995647442872695
Aksarben Village,2025-05-01,hours_scheduled,,0.0,15.201729106628248
Aksarben Village,2025-06-01,hours_scheduled,,0.0,18.576195773081206
Aksarben Village,2025-07-01,hours_scheduled,,0.0,7.713034691815435
Aksarben Village,2025-08-01,hours_scheduled,,0.0,-8.83694412770809
Aksarben Village,2025-09-01,hours_scheduled,,0.0,3.3947623666343407
Aksarben Village,2025-10-01,hours_scheduled,,0.0,4.509803921568634
Aksarben Village,2025-11-01,hours_scheduled,,0.0,-6.024096385542165
Aksarben Village,2025-12-01,hours_scheduled,,0.0,6.034482758620685
Aksarben Village,2021-01-01,membership_conversion,,,
Aksarben Village,2021-02-01,membership_conversion,,,
Aksarben Village,2021-03-01,membership_conversion,,,
Aksarben Village,2021-04-01,membership_conversion,0.0,,
Aksarben Village,2021-05-01,membership_conversion,0.0344,inf,
Aksarben Village,2021-06-01,membership_conversion,0.0339,-1.4534883720930258,
Aksarben Village,2021-07-01,membership_conversion,0.0513,51.32743362831857,
Aksarben Village,2021-08-01,membership_conversion,0.0301,-41.32553606237816,
Aksarben Village,2021-09-01,membership_conversion,0.0444,47.508305647840544,
Aksarben Village,2021-10-01,membership_conversion,0.0448,0.9009009009008917,
Aksarben Village,2021-11-01,membership_conversion,0.0349,-22.098214285714278,
Aksarben Village,2021-12-01,membership_conversion,0.0159,-54.44126074498568,
Aksarben Village,2022-01-01,membership_conversion,0.0581,265.40880503144655,
Aksarben Village,2022-02-01,membership_conversion,0.0335,-42.3407917383821,
Aksarben Village,2022-03-01,membership_conversion,0.0244,-27.164179104477615,
Aksarben Village,2022-04-01,membership_conversion,0.0338,38.52459016393441,inf
Aksarben Village,2022-05-01,membership_conversion,0.0387,14.49704142011834,12.5
Aksarben Village,2022-06-01,membership_conversion,0.0329,-14.987080103359174,-2.9498525073746285
Aksarben Village,2022-07-01,membership_conversion,0.0321,-2.4316109422492516,-37.426900584795334
Aksarben Village,2022-08-01,membership_conversion,0.0176,-45.17133956386292,-41.5282392026578
Aksarben Village,2022-09-01,membership_conversion,0.0389,121.02272727272725,-12.387387387387394
Aksarben Village,2022-10-01,membership_conversion,0.0266,-31.619537275064268,-40.625
Aksarben Village,2022-11-01,membership_conversion,0.0177,-33.458646616541344,-49.28366762177651
Aksarben Village,2022-12-01,membership_conversion,0.0316,78.53107344632771,98.74213836477988
Aksarben Village,2023-01-01,membership_conversion,0.028,-11.392405063291145,-51.80722891566265
Aksarben Village,2023-02-01,membership_conversion,0.0412,47.14285714285713,22.985074626865675
Aksarben Village,2023-03-01,membership_conversion,0.0322,-21.844660194174757,31.967213114754077
Aksarben Village,2023-04-01,membership_conversion,0.0275,-14.596273291925465,-18.639053254437865
Aksarben Village,2023-05-01,membership_conversion,0.0131,-52.36363636363637,-66.14987080103359
Aksarben Village,2023-06-01,membership_conversion,0.0241,83.96946564885495,-26.747720364741635
Aksarben Village,2023-07-01,membership_conversion,0.0252,4.564315352697101,-21.495327102803728
Aksarben Village,2023-08-01,membership_conversion,0.057,126.19047619047619,223.86363636363637
Aksarben Village,2023-09-01,membership_conversion,0.0234,-58.94736842105264,-39.84575835475578
Aksarben Village,2023-10-01,membership_conversion,0.019,-18.803418803418804,-28.57142857142857
Aksarben Village,2023-11-01,membership_conversion,0.02,5.263157894736836,12.994350282485879
Aksarben Village,2023-12-01,membership_conversion,0.02,0.0,-36.708860759493675
Aksarben Village,2024-01-01,membership_conversion,0.03,50.0,7.14285714285714
Aksarben Village,2024-02-01,membership_conversion,0.07,133.33333333333334,69.90291262135923
Aksarben Village,2024-03-01,membership_conversion,0.07,0.0,117.39130434782612
Aksarben Village,2024-04-01,membership_conversion,0.06,-14.285714285714302,118.18181818181816
Aksarben Village,2024-05-01,membership_conversion,0.04,-33.33333333333333,205.34351145038164
Aksarben Village,2024-06-01,membership_conversion,0.04,0.0,65.97510373443984
Aksarben Village,2024-07-01,membership_conversion,0.05,25.0,98.41269841269842
Aksarben Village,2024-08-01,membership_conversion,0.14,180.00000000000003,145.61403508771932
Aksarben Village,2024-09-01,membership_conversion,0.08,-42.85714285714286,241.88034188034186
Aksarben Village,2024-10-01,membership_conversion,0.06,-25.0,215.78947368421052
Aksarben Village,2024-11-01,membership_conversion,0.03,-50.0,50.0
Aksarben Village,2024-12-01,membership_conversion,0.11,266.6666666666667,450.0
Aksarben Village,2025-01-01,membership_conversion,0.07,-36.36363636363635,133.33333333333334
Aksarben Village,2025-02-01,membership_conversion,0.06,-14.285714285714302,-14.285714285714302
Aksarben Village,2025-03-01,membership_conversion,0.04,-33.33333333333333,-42.85714285714286
Aksarben Village,2025-04-01,membership_conversion,,0.0,-33.33333333333333
Aksarben Village,2025-05-01,membership_conversion,,0.0,0.0
Aksarben Village,2025-06-01,membership_conversion,,0.0,0.0
Aksarben Village,2025-07-01,membership_conversion,,0.0,-20.000000000000007
Aksarben Village,2025-08-01,membership_conversion,,0.0,-71.42857142857143
Aksarben Village,2025-09-01,membership_conversion,,0.0,-50.0
Aksarben Village,2025-10-01,membership_conversion,,0.0,-33.33333333333333
Aksarben Village,2025-11-01,membership_conversion,,0.0,33.33333333333335
Aksarben Village,2025-12-01,membership_conversion,,0.0,-63.63636363636363
Aksarben Village,2021-01-01,net_revenue,,,
Aksarben Village,2021-02-01,net_revenue,,,
Aksarben Village,2021-03-01,net_revenue,,,
Aksarben Village,2021-04-01,net_revenue,7217.0,,
Aksarben Village,2021-05-01,net_revenue,17123.0,137.25924899542744,
Aksarben Village,2021-06-01,net_revenue,21691.0,26.677568183145482,
Aksarben Village,2021-07-01,net_revenue,26602.0,22.640726568622927,
Aksarben Village,2021-08-01,net_revenue,26443.0,-0.5976994210961539,
Aksarben Village,2021-09-01,net_revenue,28655.0,8.36516280301025,
Aksarben Village,2021-10-01,net_revenue,28043.0,-2.135752922701095,
Aksarben Village,2021-11-01,net_revenue,29563.0,5.420247477088758,
Aksarben Village,2021-12-01,net_revenue,33410.0,13.012887731285726,
Aksarben Village,2022-01-01,net_revenue,23147.0,-30.718347800059863,
Aksarben Village,2022-02-01,net_revenue,27452.0,18.59852248671534,
Aksarben Village,2022-03-01,net_revenue,29828.0,8.655107096022153,
Aksarben Village,2022-04-01,net_revenue,28842.0,-3.3056188815877685,299.639739503949
Aksarben Village,2022-05-01,net_revenue,30661.0,6.306774842243956,79.06324826257081
Aksarben Village,2022-06-01,net_revenue,33274.0,8.522226933237654,53.40002766124199
Aksarben Village,2022-07-01,net_revenue,34349.0,3.230750736310628,29.121870536049933
Aksarben Village,2022-08-01,net_revenue,35525.0,3.4236804564907297,34.34557349771205
Aksarben Village,2022-09-01,net_revenue,39873.0,12.239268121041524,39.148490664805436
